No of Actors read '6775'.
Actor 	id = 1d7cb619-062b-4a21-af3d-9f6a6e8e8770	name = Philip Locke                                      	dob = null    
Actor 	id = 768001f7-1499-46db-9ee3-ea296341f92c	name = Paul Whiteman                                     	dob = 1890    
Actor 	id = 9d2cedef-cbca-46f6-aa6b-c0660037321d	name = Leigh Harris                                      	dob = null    
Actor 	id = 7e874ccd-bcae-4022-b3b7-ff9edfeeb1ae	name = Nino Martini                                      	dob = 1904    
Actor 	id = 9f9531ff-df84-421b-b84d-71fb9dd5302a	name = Ralph Michael                                     	dob = 1907    
Actor 	id = 52e31c82-c11d-4187-8037-e391269c682e	name = Louise Beavers                                    	dob = 1902    
Actor 	id = 6bd1e80b-edab-4318-b0f9-7e9730e420a7	name = Cantilene                                         	dob = null    
Actor 	id = 6a96b7e3-4890-486d-ac97-6c90d7eae55d	name = Pamela Bach                                       	dob = 1962    
Actor 	id = 46a23602-5d82-4a58-9506-24dbe0e4d3aa	name = Barbara  Morrison                                 	dob = 1908    
Actor 	id = 02705ad1-6eb2-4866-a798-13a567cb267e	name = John Huston                                       	dob = 1906    
Actor 	id = 2e3f5e73-310f-403b-833a-601d74a7b44e	name = Patrice Townsend                                  	dob = null    
Actor 	id = 0e880b10-7cb8-4844-9cee-66a22b753c57	name = Yancy Butler                                      	dob = null    
Actor 	id = e94a92ad-ad34-413d-ab35-97f15945afd6	name = Robert Hale                                       	dob = null    
Actor 	id = 1eede94f-140b-4d52-96f5-b89d4e9e046c	name = Yoko Ono                                          	dob = null    
Actor 	id = 8df880da-b4be-4b02-bc26-02392589dfc9	name = Peter Hooten                                      	dob = null    
Actor 	id = fc6516f0-5b24-4dad-bb5b-87ae58780101	name = Kristin Scott Thomas                              	dob = null    
Actor 	id = df5f3c9e-2dea-4a79-8135-4b2d6d6f04f8	name = Ann Blyth                                         	dob = 1928    
Actor 	id = 77987f2d-d470-4bee-baec-c269905b674b	name = Jody McCrea                                       	dob = null    
Actor 	id = ce7a5b05-b183-4408-a584-01d316262ddf	name = Sam Levene                                        	dob = 1905    
Actor 	id = bc3e2955-9f0d-4e27-be85-711d948fb84d	name = James Barton                                      	dob = 1890    
Actor 	id = d5252e92-198a-46d6-9a14-76b4836dd9d6	name = John Richardson                                   	dob = 1936    
Actor 	id = 2c70f9e8-d16d-4f50-aed8-3aec6ee8b5c1	name = Robert Klein                                      	dob = null    
Actor 	id = b0fbf48b-7a78-4abb-8939-240077d02a36	name = Jimmy WangYu                                      	dob = null    
Actor 	id = cca98c38-49b1-40ac-9b73-a8713ba1f2ed	name = Beverly D'Angelo                                  	dob = 1854    
Actor 	id = b54f0ec0-9585-42b7-893e-c66666d222a7	name = John Ritter                                       	dob = 1948    
Actor 	id = 0ba4ce20-7c57-4076-84d1-cd1e3a1f4f19	name = Godfrey Cambridge                                 	dob = 1929    
Actor 	id = a62f6963-4244-4a04-818f-778aa3e09fe4	name = D. Greydon Clark                                  	dob = null    
Actor 	id = 35348d63-88d9-49a0-8cd6-56f8b0f525ec	name = William Redfield                                  	dob = null    
Actor 	id = df3fbbc6-787f-4c0d-9b0c-e5a68bee5ec7	name = George Ayer                                       	dob = null    
Actor 	id = 68876526-8136-457c-9465-1b29b2772e42	name = Pamela Bryant                                     	dob = null    
Actor 	id = 1dee2137-8726-4c67-948d-c366c1030184	name = Julie Harris                                      	dob = 1925    
Actor 	id = 71fb5556-7f90-41f6-90ca-5fa40770c654	name = Glen Campbell                                     	dob = 1935    
Actor 	id = c7031761-6e0f-4331-962e-cea29975f166	name = Harvey Lembeck                                    	dob = 1925    
Actor 	id = 9d2c79e7-6aa8-4feb-88f2-47743abf99b8	name = Veronica Hart                                     	dob = null    
Actor 	id = 5338958e-c0c1-48ac-b242-427ed357bbcc	name = Elizabeth Edmonds                                 	dob = null    
Actor 	id = 13030e71-1667-48cc-abda-b0c8854cda65	name = Ronald Fraser                                     	dob = 1930    
Actor 	id = 9bf7bd7c-adb5-4868-8ce6-3a772ce40ef2	name = John Waters                                       	dob = null    
Actor 	id = 719b3475-a878-4510-9cfa-bdf556040145	name = Walter Connolly                                   	dob = 1887    
Actor 	id = af2ff2fa-8662-4759-bb30-cbbb9369eb32	name = Dame Gladys Cooper                                	dob = 1888    
Actor 	id = 522563cb-43ea-4bda-b1b8-1edb070c9f98	name = Lucio Amelio                                      	dob = null    
Actor 	id = ee7d48ad-785f-45ac-bd7f-bc071d135520	name = Keenan Wynn                                       	dob = 1916    
Actor 	id = 9f5848af-ebc2-4bf2-8c17-f0972d8b6c56	name = Susan Shentall                                    	dob = 1934    
Actor 	id = 53479373-1eaf-4b5f-9a2f-8d4a24fd2ddf	name = Marjorie Gateson                                  	dob = 1891    
Actor 	id = 7dff0319-236a-4cc5-9a29-5389614d874b	name = Elisabeth Bergner                                 	dob = 1898    
Actor 	id = 0ace4642-c86d-499e-a9a5-7bd60e297288	name = Thora Hird                                        	dob = 1913    
Actor 	id = 062e6915-df8b-411e-9d9a-ca4fb28d4328	name = Don Stroud                                        	dob = 1937    
Actor 	id = d7a108e7-8474-485a-b6ee-794ef2766644	name = Gerard Depardieu                                  	dob = 1948    
Actor 	id = 751e9727-c7d7-44d3-b9ed-9b39890c074d	name = Kent Senatore                                     	dob = null    
Actor 	id = a44ccff2-5f72-445a-af65-6942d8351802	name = Gale Storm                                        	dob = 1922    
Actor 	id = 7d0c1bc4-ebfd-4bf5-a4f0-440e6b79029f	name = Richard Boone                                     	dob = 1917    
Actor 	id = a7a0eed0-af95-434a-86f3-e231b1658a36	name = Thuy An Luu                                       	dob = 1967    
Actor 	id = 4d33ce90-f4df-467c-af37-e73449be4075	name = Dewey Martin                                      	dob = 1923    
Actor 	id = cca7d831-76ba-4bae-895c-c61c91fb31d9	name = Samuel L. Jackson                                 	dob = 1948    
Actor 	id = b7f90787-5754-4ae8-b959-ba7eb23edcb8	name = Jack Holt                                         	dob = 1888    
Actor 	id = ef16f765-6673-43c2-82a6-1ccb2969574f	name = Theodora Thurman                                  	dob = null    
Actor 	id = 0a03e494-076c-4b29-9740-cb92178d461d	name = Fortunio Bonanova                                 	dob = 1893    
Actor 	id = 332e9fd3-9d66-4537-9cd7-d700ee21282e	name = Irene Dunne                                       	dob = 1901    
Actor 	id = e5b3960d-65d1-495f-9d38-4c7d341d4658	name = Jameson Thomas                                    	dob = 1892    
Actor 	id = 4ccfb7dd-94b9-405d-a77d-902e41ae7982	name = Edward Judd                                       	dob = 1932    
Actor 	id = 5a24ad78-a5a8-49d3-b766-dfb7fc092390	name = Christopher Penn                                  	dob = null    
Actor 	id = 529ecb71-8aab-4784-bf96-19b13a76fa22	name = Tor Johnson                                       	dob = null    
Actor 	id = f924005d-7eed-4526-9a01-03fe97e0a560	name = Bobby Mauch                                       	dob = 1925    
Actor 	id = e7f8fdee-5f3d-4d8a-bdbd-e39d8005972f	name = Jo Ann Pflug                                      	dob = null    
Actor 	id = b91c8f07-238d-4e0b-b448-9c635379ba2c	name = Tony Kendall                                      	dob = null    
Actor 	id = c6a5b481-28ae-4622-8dda-b71a6c368018	name = Rich Cosentino                                    	dob = null    
Actor 	id = f2d0d7d9-445a-4f16-9b9a-92d6051f8dc1	name = Zbigniew Cybulski                                 	dob = 1927    
Actor 	id = c7013b66-2473-4dec-8519-340fc6d0913b	name = David McCallum                                    	dob = 1933    
Actor 	id = dc8f0259-ea49-4960-bb57-d6e188408c21	name = Warner Baxter                                     	dob = 1889    
Actor 	id = 55a57bd3-48f3-4721-bbba-df2ddaf4b62d	name = Tristam Coffin                                    	dob = null    
Actor 	id = cf33af41-2b40-405b-8d74-439ea3ebf952	name = John Thaw                                         	dob = 1942    
Actor 	id = c8ba2a01-f606-419c-8cca-788a0780ca04	name = Rita Hayworth                                     	dob = 1918    
Actor 	id = d65e0cb7-f79a-468c-9c9d-a62d950806ba	name = Jon VanNess                                       	dob = null    
Actor 	id = 397addf0-7cc8-4095-94a0-669de4efc888	name = George Barris                                     	dob = null    
Actor 	id = a33eade6-3896-4500-b8c2-87eff5b8b498	name = Andre Gregory                                     	dob = null    
Actor 	id = d191190b-714f-421c-b6dd-4a0ab6d8d7a6	name = Donna Douglas                                     	dob = 1933    
Actor 	id = cd815ced-e5c9-4c85-89f3-16ba588b51ab	name = Wally Cox                                         	dob = 1924    
Actor 	id = 4268f504-c7eb-4ddd-a2fe-9429b3d27a61	name = Kay Hammond                                       	dob = 1909    
Actor 	id = 2234d572-6185-467e-a85f-c77fbcd4256e	name = Elizabeth Patterson                               	dob = 1876    
Actor 	id = 1a44e209-d1e7-4e77-8a21-abc6c10339e0	name = Joel Gray                                         	dob = null    
Actor 	id = 55d2f861-417c-434c-838c-dcd56f7e84d7	name = Sidney Toler                                      	dob = 1878    
Actor 	id = cadd064a-86c5-43d1-9048-463b5072fa47	name = John Clements                                     	dob = 1910    
Actor 	id = 1a6e5188-475d-4a68-9a5a-5b18bc0da52b	name = Phil Brock                                        	dob = null    
Actor 	id = df3c1945-db6c-4cef-9eb4-e0a27ade7aee	name = Kim Darby                                         	dob = 1947    
Actor 	id = 960f94c4-44dc-4c05-9e9e-060fc2a42660	name = Paul Drake                                        	dob = null    
Actor 	id = b0b78329-a019-4b80-9941-5266d2ef2fd1	name = Robert Taylor                                     	dob = 1911    
Actor 	id = 60082f00-07df-47eb-ae0d-ad6d779acc5d	name = Pierre Barouh                                     	dob = null    
Actor 	id = 22210c02-a6be-4863-9bce-4be7e6aba1cf	name = Sebastian Shaw                                    	dob = 1905    
Actor 	id = 57d1645b-86e5-4b42-8050-48ef0310c031	name = Rita Rudner                                       	dob = null    
Actor 	id = af9c6e24-16f8-4362-a6bf-356a0f647b9b	name = Glenn Miller                                      	dob = 1904    
Actor 	id = 428d3da7-eda2-43ab-8fea-36cc72d2881e	name = Aileen Quinn                                      	dob = null    
Actor 	id = 7de754dc-5d13-432b-83c9-419ddf6fcfac	name = Pia Zadora                                        	dob = 1956    
Actor 	id = 684cc72e-494f-4893-91b1-ab6ffe154b72	name = Alan Alda                                         	dob = 1936    
Actor 	id = 31bb17c7-bcf4-4a35-a91f-4cf3e66a7478	name = Lupe Velez                                        	dob = 1908    
Actor 	id = d1c08ff8-5db5-4a7e-9901-a12f33423c3e	name = Mary Glynne                                       	dob = 1898    
Actor 	id = bd72ecc5-60af-4bed-846b-b6c0253201a5	name = Richard Hell                                      	dob = null    
Actor 	id = b1a45883-e764-410f-b2d6-5ceca8324898	name = Muriel Aked                                       	dob = 1887    
Actor 	id = 43cf4156-06a5-486d-a485-d2c9b8ba59f4	name = Jim Metzler                                       	dob = null    
Actor 	id = e7ffb0d0-8550-44dc-b1ba-7f8160a8bc12	name = John Buchan                                       	dob = null    
Actor 	id = 57ae6805-419f-45dd-879b-4771f9eba7fc	name = Kathryn Givney                                    	dob = 1897    
Actor 	id = dff46529-3527-41e1-98cd-a8d168e3475f	name = Herbert Anderson                                  	dob = 1917    
Actor 	id = a02c7ef9-10b1-4409-89a1-7972a4e00327	name = James Phipps                                      	dob = null    
Actor 	id = 685cc417-57ed-48e7-b6da-559a5bcba8a1	name = George Maharis                                    	dob = 1928    
Actor 	id = 8887113b-fc57-4251-b550-cf73501c72a8	name = Irish McCalla                                     	dob = null    
Actor 	id = 88268fa4-1fc1-4567-bb52-765813a82197	name = Judd Hirsch                                       	dob = 1936    
Actor 	id = 5f238f51-b5ce-497b-8c89-225d696555f1	name = Mildred Natwick                                   	dob = 1908    
Actor 	id = a016e9db-5cfc-4d20-9139-eba18f1295f5	name = Lynette Harris                                    	dob = null    
Actor 	id = 2a29bcee-1398-47f7-bf9b-3ee784479933	name = David Soul                                        	dob = 1943    
Actor 	id = 0efdf269-9b1d-4960-8fa4-80e173f5ce1e	name = Albert Brooks                                     	dob = 1947    
Actor 	id = 252c4f2e-8b6e-47da-8662-6798f0ad9431	name = Jennifer ONeill                                   	dob = null    
