GENRE ERROR Film 	id = H2        	title = Number Thirteen                                   	year = 1922    	director = Hitchcock           	rating = 0.00	genres = []
GENRE ERROR Film 	id = CPa1      	title = La Passion                                        	year = 1902    	director = Pathe               	rating = 0.00	genres = []
NULL ITEMS  Film 	id = CPa50     	title = Les Mis\'erables                                  	year = 1909    	director = Pathe               	rating = 0.00	genres = [9-Drama]
GENRE ERROR Film 	id = JaC7      	title = Too Many Millions                                 	year = 1918    	director = Cruze               	rating = 0.00	genres = []
GENRE ERROR Film 	id = JaC12     	title = Hollywood                                         	year = 1918    	director = Cruze               	rating = 0.00	genres = []
GENRE ERROR Film 	id = JaC33     	title = Washington Merry Go Round                         	year = 1932    	director = Cruze               	rating = 0.00	genres = []
GENRE ERROR Film 	id = JaC35     	title = I Cover the Waterfront                            	year = 1933    	director = Cruze               	rating = 0.00	genres = []
GENRE ERROR Film 	id = JaC40     	title = Sutter's Gold                                     	year = 1936    	director = Cruze               	rating = 0.00	genres = []
GENRE ERROR Film 	id = DWG02     	title = At the French Ball                                	year = 1908    	director = Griffith            	rating = 0.00	genres = []
GENRE ERROR Film 	id = DWG03     	title = Calamitous Elopement                              	year = 1908    	director = Griffith            	rating = 0.00	genres = []
GENRE ERROR Film 	id = DWG1      	title = The Adventures of Dolly                           	year = 1908    	director = Griffith            	rating = 0.00	genres = []
GENRE ERROR Film 	id = DWG3      	title = For the Love of Gold                              	year = 1908    	director = Griffith            	rating = 0.00	genres = []
GENRE ERROR Film 	id = DWG5      	title = The Call of the Wild                              	year = 1908    	director = Griffith            	rating = 0.00	genres = []
GENRE ERROR Film 	id = DWG6      	title = Lines of White on a Sullen Sea                    	year = 1908    	director = Griffith            	rating = 0.00	genres = []
GENRE ERROR Film 	id = DWG16     	title = Love Among the Roses                              	year = 1910    	director = Griffith            	rating = 0.00	genres = []
GENRE ERROR Film 	id = DWG25     	title = The Lonedale Operator                             	year = 1911    	director = Griffith            	rating = 0.00	genres = []
GENRE ERROR Film 	id = DWG26     	title = Paradise Lost                                     	year = 1911    	director = Griffith            	rating = 0.00	genres = []
GENRE ERROR Film 	id = DWG29     	title = The Cowboy Doctor                                 	year = 1911    	director = Griffith            	rating = 0.00	genres = []
GENRE ERROR Film 	id = DWG33     	title = Man's Genesis                                     	year = 1912    	director = Griffith            	rating = 0.00	genres = []
GENRE ERROR Film 	id = DWG35     	title = The Musketeers of Pig Alley                       	year = 1912    	director = Griffith            	rating = 0.00	genres = []
GENRE ERROR Film 	id = DWG47     	title = The New York Hat                                  	year = 1912    	director = Griffith            	rating = 0.00	genres = []
GENRE ERROR Film 	id = DWG53     	title = Hearts of the World                               	year = 1918    	director = Griffith            	rating = 0.00	genres = []
GENRE ERROR Film 	id = DWG66     	title = One Exciting Night                                	year = 1922    	director = Griffith            	rating = 0.00	genres = []
GENRE ERROR Film 	id = DWG75     	title = Screen Snapshots                                  	year = 1926    	director = Griffith            	rating = 0.00	genres = []
NULL ITEMS  Film 	id = Z0210     	title = Romeo and Juliet                                  	year = 1908    	director = Unknown2            	rating = 0.00	genres = [18-Romance]
NULL ITEMS  Film 	id = Z0220     	title = Romeo and Juliet                                  	year = 1908    	director = Unknown2            	rating = 0.00	genres = [18-Romance]
NULL ITEMS  Film 	id = Z0230     	title = Romeo and Juliet                                  	year = 1908    	director = Unknown2            	rating = 0.00	genres = [18-Romance]
NULL ITEMS  Film 	id = Z0240     	title = Romeo and Juliet                                  	year = 1911    	director = Unknown2            	rating = 0.00	genres = [18-Romance]
NULL ITEMS  Film 	id = Z0250     	title = Romeo and Juliet                                  	year = 1911    	director = Unknown2            	rating = 0.00	genres = [18-Romance]
NULL ITEMS  Film 	id = Z0260     	title = Romeo and Juliet                                  	year = 1916    	director = Unknown2            	rating = 0.00	genres = [18-Romance]
NULL ITEMS  Film 	id = Z0270     	title = Romeo and Juliet                                  	year = 1916    	director = Unknown2            	rating = 0.00	genres = [18-Romance]
GENRE ERROR Film 	id = EiC10     	title = Le Binetoscope                                    	year = 1909    	director = Cohl                	rating = 0.00	genres = []
GENRE ERROR Film 	id = WMk10     	title = Gertie the Dino                                   	year = 1909    	director = Mackay              	rating = 0.00	genres = []
GENRE ERROR Film 	id = ThB50     	title = Young Woodley                                     	year = 1930    	director = Bentley             	rating = 0.00	genres = []
GENRE ERROR Film 	id = ThB65     	title = Those Were the Days                               	year = 1934    	director = Bentley             	rating = 0.00	genres = []
GENRE ERROR Film 	id = ThB70     	title = The Old Curiosity Shop                            	year = 1935    	director = Bentley             	rating = 0.00	genres = []
GENRE ERROR Film 	id = ThB80     	title = Lucky to Me                                       	year = 1939    	director = Bentley             	rating = 0.00	genres = []
GENRE ERROR Film 	id = APv10     	title = Dante's Inferno                                   	year = 1911    	director = Guiseppe diLiguoro  	rating = 0.00	genres = []
GENRE ERROR Film 	id = LcP15     	title = L'Enfant de Paris                                 	year = 1913    	director = Perret              	rating = 0.00	genres = []
GENRE ERROR Film 	id = OrM10     	title = Clios and Phyletes                                	year = 1911    	director = Mentasti            	rating = 0.00	genres = []
GENRE ERROR Film 	id = ThI20     	title = Custer's Last Fight                               	year = 1912    	director = Th.Ince             	rating = 0.00	genres = []
GENRE ERROR Film 	id = ThI60     	title = Human Wreckage                                    	year = 1924    	director = Th.Ince             	rating = 0.00	genres = []
GENRE ERROR Film 	id = ADw41     	title = Suez                                              	year = 1938    	director = Dwan                	rating = 0.00	genres = []
GENRE ERROR Film 	id = AEG25     	title = The Ghost Breaker                                 	year = 1922    	director = A.E.Green           	rating = 0.00	genres = []
GENRE ERROR Film 	id = AEG39     	title = I Loved a Woman                                   	year = 1933    	director = A.E.Green           	rating = 0.00	genres = []
GENRE ERROR Film 	id = JCw16     	title = Step On It                                        	year = 1922    	director = Conway              	rating = 0.00	genres = []
GENRE ERROR Film 	id = JCw41     	title = Bringing Up Father                                	year = 1928    	director = Conway              	rating = 0.00	genres = []
GENRE ERROR Film 	id = JCw47     	title = The Unholy Three                                  	year = 1930    	director = Conway              	rating = 0.00	genres = []
NULL ITEMS  Film 	id = JCw51     	title = Ars\`ene Lupin                                    	year = 1932    	director = Conway              	rating = 0.00	genres = []
NULL ITEMS  Film 	id = JCw57     	title = Viva Villa                                        	year = 1934    	director = Hawks; fired        	rating = 0.00	genres = [26-Epic]
GENRE ERROR Film 	id = JCw63     	title = Sarasota                                          	year = 1937    	director = Conway              	rating = 0.00	genres = []
GENRE ERROR Film 	id = JCw64     	title = A Yank at Oxford                                  	year = 1938    	director = Conway              	rating = 0.00	genres = []
GENRE ERROR Film 	id = JCw65     	title = Too Hot To Handle                                 	year = 1938    	director = Conway              	rating = 0.00	genres = []
GENRE ERROR Film 	id = JCw67     	title = Lady of the Tropics                               	year = 1939    	director = Conway              	rating = 0.00	genres = []
GENRE ERROR Film 	id = JCw68     	title = Boom Town                                         	year = 1940    	director = Conway              	rating = 0.00	genres = []
GENRE ERROR Film 	id = JCw69     	title = Love Crazy                                        	year = 1940    	director = Conway              	rating = 0.00	genres = []
GENRE ERROR Film 	id = JCw70     	title = Honky Tonk                                        	year = 1940    	director = Conway              	rating = 0.00	genres = []
GENRE ERROR Film 	id = JCw73     	title = Dragon Seed                                       	year = 1944    	director = Conway              	rating = 0.00	genres = []
GENRE ERROR Film 	id = JCw75     	title = The Hucksters                                     	year = 1947    	director = Conway              	rating = 0.00	genres = []
GENRE ERROR Film 	id = MaT10     	title = Alias Jimmy Valentine                             	year = 1915    	director = M.Tourneur          	rating = 0.00	genres = []
GENRE ERROR Film 	id = MaT40     	title = Au nom de la loi                                  	year = 1931    	director = M.Tourneur          	rating = 0.00	genres = []
GENRE ERROR Film 	id = LoW10     	title = The Dumb Girl of Portici                          	year = 1916    	director = Weber               	rating = 0.00	genres = []
GENRE ERROR Film 	id = LoW20     	title = The Dance of Love                                 	year = 1920    	director = Weber               	rating = 0.00	genres = []
GENRE ERROR Film 	id = LoW21     	title = Shoes                                             	year = 1920    	director = Weber               	rating = 0.00	genres = []
GENRE ERROR Film 	id = ME40      	title = Nelson                                            	year = 1919    	director = Elvey               	rating = 0.00	genres = []
GENRE ERROR Film 	id = ME60      	title = The Elusive Pimpernel                             	year = 1912    	director = Elvey               	rating = 0.00	genres = []
GENRE ERROR Film 	id = ME100     	title = The Hound of the Baskervilles                     	year = 1921    	director = Elvey               	rating = 0.00	genres = []
GENRE ERROR Film 	id = MEl130    	title = Balalava                                          	year = 1928    	director = Elvey               	rating = 0.00	genres = []
GENRE ERROR Film 	id = MEl150    	title = The School for Scandal                            	year = 1930    	director = Elvey               	rating = 0.00	genres = []
GENRE ERROR Film 	id = ME200     	title = The Tunnel                                        	year = 1934    	director = Elvey               	rating = 0.00	genres = []
GENRE ERROR Film 	id = ME270     	title = Beware of Pity                                    	year = 1946    	director = Elvey               	rating = 0.00	genres = []
GENRE ERROR Film 	id = ME300     	title = My Wife's Lodger                                  	year = 1952    	director = Elvey               	rating = 0.00	genres = []
NULL ITEMS  Film 	id = MSe10     	title = Dough and Dynamite                                	year = 1914    	director = null                	rating = 0.00	genres = [6-Comedy]
NULL ITEMS  Film 	id = MSe15     	title = Fatty and Mabel at the San Diego Exposition       	year = 1915    	director = null                	rating = 0.00	genres = [6-Comedy]
NULL ITEMS  Film 	id = MSe18     	title = Fatty and Mabel's Simple Life                     	year = 1915    	director = null                	rating = 0.00	genres = [6-Comedy]
GENRE ERROR Film 	id = MSt10     	title = Vampyren                                          	year = 1912    	director = M.Stiller           	rating = 0.00	genres = []
GENRE ERROR Film 	id = MSt20     	title = Sir Arne's Treasure                               	year = 1919    	director = M.Stiller           	rating = 0.00	genres = []
GENRE ERROR Film 	id = MSt50     	title = The Blizzard                                      	year = 1926    	director = M.Stiller           	rating = 0.00	genres = []
GENRE ERROR Film 	id = MSt55     	title = Hotel Imperial                                    	year = 1927    	director = M.Stiller           	rating = 0.00	genres = []
GENRE ERROR Film 	id = MSt60     	title = Street of Sin                                     	year = 1928    	director = M.Stiller           	rating = 0.00	genres = []
GENRE ERROR Film 	id = VSj3      	title = The Phantom Carriage                              	year = 1920    	director = Seastrom            	rating = 0.00	genres = []
GENRE ERROR Film 	id = VSj5      	title = He Who gets Slapped                               	year = 1924    	director = Seastrom            	rating = 0.00	genres = []
NULL ITEMS  Film 	id = Z1210     	title = Within the Law                                    	year = 1912    	director = Unknown12           	rating = 0.00	genres = []
NULL ITEMS  Film 	id = Z1220     	title = Within the Law                                    	year = 1917    	director = Unknown12           	rating = 0.00	genres = []
NULL ITEMS  Film 	id = Z1230     	title = Within the Law                                    	year = 1923    	director = Unknown12           	rating = 0.00	genres = []
GENRE ERROR Film 	id = NOx10     	title = Il Cadavere Vivente                               	year = 1913    	director = Oreste Mentasti     	rating = 0.00	genres = []
GENRE ERROR Film 	id = AcG10     	title = Fedora, or Piu Forte dell'Odio e Amore            	year = 1913    	director = Gonsalvi            	rating = 0.00	genres = []
GENRE ERROR Film 	id = CDM8      	title = Call of the North                                 	year = 1915    	director = DeMille             	rating = 0.00	genres = []
GENRE ERROR Film 	id = CDM10     	title = The Wild Goose Chase                              	year = 1915    	director = DeMille             	rating = 0.00	genres = []
GENRE ERROR Film 	id = CDM11     	title = The Warrens of Virginia                           	year = 1915    	director = DeMille             	rating = 0.00	genres = []
GENRE ERROR Film 	id = CDM12     	title = The Arab                                          	year = 1915    	director = DeMille             	rating = 0.00	genres = []
GENRE ERROR Film 	id = CDM13     	title = The Goose Girl                                    	year = 1915    	director = DeMille             	rating = 0.00	genres = []
GENRE ERROR Film 	id = CDM16     	title = Maria Rosa                                        	year = 1915    	director = DeMille             	rating = 0.00	genres = []
GENRE ERROR Film 	id = CDM44     	title = Adam's Rib                                        	year = 1923    	director = DeMille             	rating = 0.00	genres = []
GENRE ERROR Film 	id = CDM52     	title = Madame Satan                                      	year = 1930    	director = DeMille             	rating = 0.00	genres = []
GENRE ERROR Film 	id = CDM54     	title = The Godless Girl                                  	year = 1931    	director = DeMille             	rating = 0.00	genres = []
GENRE ERROR Film 	id = CDM60     	title = The Crusades                                      	year = 1935    	director = DeMille             	rating = 0.00	genres = []
GENRE ERROR Film 	id = CDM73     	title = Union Pacific                                     	year = 1939    	director = DeMille             	rating = 0.00	genres = []
GENRE ERROR Film 	id = HBn10     	title = The Kreuzer Sonata                                	year = 1913    	director = Brenon              	rating = 0.00	genres = []
GENRE ERROR Film 	id = HBn12     	title = War Brides                                        	year = 1916    	director = Brenon              	rating = 0.00	genres = []
GENRE ERROR Film 	id = HBn15     	title = The Passing of the Third Floor Back               	year = 1918    	director = Brenon              	rating = 0.00	genres = []
GENRE ERROR Film 	id = HBn18     	title = The Sign on the Door                              	year = 1921    	director = Brenon              	rating = 0.00	genres = []
GENRE ERROR Film 	id = HBn21     	title = The Spanish Dancer                                	year = 1923    	director = Brenon              	rating = 0.00	genres = []
NULL ITEMS  Film 	id = HHS26     	title = Fahrten und F\"ahrten                             	year = 1926    	director = Schomburgk          	rating = 0.00	genres = [8-Documentary]
NULL ITEMS  Film 	id = HHS48     	title = Frauen, Masken, und Dam\"onen                     	year = 1948    	director = Schomburgk          	rating = 0.00	genres = [8-Documentary]
GENRE ERROR Film 	id = PW1       	title = The Student of Prag                               	year = 1913    	director = Wegener             	rating = 0.00	genres = []
NULL ITEMS  Film 	id = PW2       	title = R\"ubezahls Hochzeit                              	year = 1916    	director = Wegener             	rating = 0.00	genres = []
NULL ITEMS  Film 	id = PW3       	title = Der Rattenf\"anger von Hameln                     	year = 1918    	director = Wegener             	rating = 0.00	genres = []
GENRE ERROR Film 	id = PW4       	title = Der Golem                                         	year = 1920    	director = Wegener             	rating = 0.00	genres = []
NULL ITEMS  Film 	id = Z4210     	title = Tarzan the Ape Man                                	year = 1913    	director = Unknown42           	rating = 0.00	genres = [3-Adventure]
NULL ITEMS  Film 	id = Z4215     	title = Romance of Tarzan                                 	year = 1918    	director = Unknown42           	rating = 0.00	genres = [3-Adventure]
NULL ITEMS  Film 	id = Z4220     	title = Return of Tarzan                                  	year = 1920    	director = Unknown42           	rating = 0.00	genres = [3-Adventure]
NULL ITEMS  Film 	id = Z4222     	title = Son of Tarzan                                     	year = 1920    	director = Unknown42           	rating = 0.00	genres = [3-Adventure]
NULL ITEMS  Film 	id = Z4225     	title = Adventures of Tarzan                              	year = 1921    	director = Unknown42           	rating = 0.00	genres = [3-Adventure]
NULL ITEMS  Film 	id = Z4230     	title = Tarzan and the Golden Lion                        	year = 1927    	director = Unknown42           	rating = 0.00	genres = [3-Adventure]
NULL ITEMS  Film 	id = Z4240     	title = Tarzan the Mighty                                 	year = 1928    	director = Unknown42           	rating = 0.00	genres = [3-Adventure]
GENRE ERROR Film 	id = AK1       	title = The Duped Journalist                              	year = 1914    	director = A.Korda             	rating = 0.00	genres = []
GENRE ERROR Film 	id = AK19      	title = The Man with the Golden Touch                     	year = 1918    	director = A.Korda             	rating = 0.00	genres = []
GENRE ERROR Film 	id = AK26      	title = The Prince and the Pauper                         	year = 1920    	director = A.Korda             	rating = 0.00	genres = []
GENRE ERROR Film 	id = AK40      	title = The Private Life of Helen of Troy                 	year = 1927    	director = A.Korda             	rating = 0.00	genres = []
GENRE ERROR Film 	id = AK45      	title = Her Private Life                                  	year = 1929    	director = A.Korda             	rating = 0.00	genres = []
GENRE ERROR Film 	id = AK49      	title = The Princess and the Plumber                      	year = 1931    	director = A.Korda             	rating = 0.00	genres = []
GENRE ERROR Film 	id = AK57      	title = The Private Life of Henry VIII                    	year = 1933    	director = A.Korda             	rating = 0.00	genres = []
GENRE ERROR Film 	id = AK58      	title = The Girl from Maxim's                             	year = 1933    	director = A.Korda             	rating = 0.00	genres = []
GENRE ERROR Film 	id = AK78      	title = Rembrandt                                         	year = 1936    	director = A.Korda             	rating = 0.00	genres = []
GENRE ERROR Film 	id = CC64      	title = The Adventurer                                    	year = 1917    	director = Chaplin             	rating = 0.00	genres = []
GENRE ERROR Film 	id = CC76      	title = City Lights                                       	year = 1931    	director = Chaplin             	rating = 0.00	genres = []
GENRE ERROR Film 	id = CC77      	title = Modern Times                                      	year = 1936    	director = Chaplin             	rating = 0.00	genres = []
GENRE ERROR Film 	id = CC79      	title = The Gold Rush                                     	year = 1942    	director = Chaplin             	rating = 0.00	genres = []
DUPLICATE   Film 	id = CC80      	title = Limelight                                         	year = 1952    	director = Chaplin             	rating = 0.00	genres = [9-Drama]
GENRE ERROR Film 	id = CC82      	title = A King in New York                                	year = 1957    	director = Chaplin             	rating = 0.00	genres = []
NULL ITEMS  Film 	id = CC83.     	title = A Countess from Hong Kong                         	year = 1966    	director = Chaplin             	rating = 0.00	genres = []
GENRE ERROR Film 	id = CGl25     	title = Malombra                                          	year = 1917    	director = Gallone             	rating = 0.00	genres = []
GENRE ERROR Film 	id = CGl35     	title = Maman poupee                                      	year = 1920    	director = Gallone             	rating = 0.00	genres = []
GENRE ERROR Film 	id = CGl55     	title = Pawns of Passion                                  	year = 1928    	director = Gallone             	rating = 0.00	genres = []
GENRE ERROR Film 	id = CGl70     	title = Madame Butterfly                                  	year = 1939    	director = Gallone             	rating = 0.00	genres = []
GENRE ERROR Film 	id = CGl75     	title = Manon Lescaut                                     	year = 1940    	director = Gallone             	rating = 0.00	genres = []
GENRE ERROR Film 	id = CGl85     	title = La Traviata                                       	year = 1947    	director = Gallone             	rating = 0.00	genres = []
GENRE ERROR Film 	id = CGl90     	title = Faust and the Devil                               	year = 1949    	director = Gallone             	rating = 0.00	genres = []
GENRE ERROR Film 	id = CGl95     	title = La Forza del Destino                              	year = 1951    	director = Gallone             	rating = 0.00	genres = []
GENRE ERROR Film 	id = CGl103    	title = Tosca                                             	year = 1956    	director = Gallone             	rating = 0.00	genres = []
GENRE ERROR Film 	id = CGl107    	title = Michel Strogoff                                   	year = 1959    	director = Gallone             	rating = 0.00	genres = []
GENRE ERROR Film 	id = CGl109    	title = Cathage in Flames                                 	year = 1959    	director = Gallone             	rating = 0.00	genres = []
GENRE ERROR Film 	id = CoC10     	title = The Spoilers                                      	year = 1914    	director = C.Campbell          	rating = 0.00	genres = []
NULL ITEMS  Film 	id = El15      	title = Ein Fideles Gef\"angnis                           	year = 1918    	director = Lubitsch            	rating = 0.00	genres = [6-Comedy]
GENRE ERROR Film 	id = EL32      	title = Die Puppe                                         	year = 1919    	director = Lubitsch            	rating = 0.00	genres = []
NULL ITEMS  Film 	id = EL34      	title = Kohliesel's T\"ochter                             	year = 1920    	director = Lubitsch            	rating = 0.00	genres = [6-Comedy]
NULL ITEMS  Film 	id = El35      	title = Ich M\"ochte Kein Mann Sein                       	year = 1920    	director = Lubitsch            	rating = 0.00	genres = [6-Comedy]
GENRE ERROR Film 	id = EL41      	title = Rosita                                            	year = 1923    	director = Lubitsch            	rating = 0.00	genres = []
GENRE ERROR Film 	id = EL49      	title = The Patriot                                       	year = 1928    	director = Lubitsch            	rating = 0.00	genres = []
GENRE ERROR Film 	id = EL51      	title = The Love Parade                                   	year = 1929    	director = Lubitsch            	rating = 0.00	genres = []
GENRE ERROR Film 	id = EL55      	title = The Man I Killed                                  	year = 1932    	director = Lubitsch            	rating = 0.00	genres = []
GENRE ERROR Film 	id = EL58      	title = If I had a Million                                	year = 1932    	director = Lubitsch            	rating = 0.00	genres = []
GENRE ERROR Film 	id = EL60      	title = Design For Living                                 	year = 1933    	director = Lubitsch            	rating = 0.00	genres = []
GENRE ERROR Film 	id = EL62      	title = Angel                                             	year = 1937    	director = Lubitsch            	rating = 0.00	genres = []
GENRE ERROR Film 	id = ECa10     	title = The Final Judgement                               	year = 1915    	director = Carewe              	rating = 0.00	genres = []
GENRE ERROR Film 	id = ECa20     	title = The trail to Yesterday                            	year = 1918    	director = Carewe              	rating = 0.00	genres = []
GENRE ERROR Film 	id = ECa30     	title = Rio Grande                                        	year = 1920    	director = Carewe              	rating = 0.00	genres = []
GENRE ERROR Film 	id = ECa40     	title = San of the Sahara                                 	year = 1924    	director = Carewe              	rating = 0.00	genres = []
GENRE ERROR Film 	id = ECa50     	title = Resurrection                                      	year = 1927    	director = Carewe              	rating = 0.00	genres = []
GENRE ERROR Film 	id = ECa55     	title = Ramona                                            	year = 1928    	director = Carewe              	rating = 0.00	genres = []
GENRE ERROR Film 	id = ECa60     	title = Evangeline                                        	year = 1929    	director = Carewe              	rating = 0.00	genres = []
GENRE ERROR Film 	id = ECa75     	title = Are We Civilized?                                 	year = 1934    	director = Carewe              	rating = 0.00	genres = []
GENRE ERROR Film 	id = GD1       	title = Les Soeurs Ennemies                               	year = 1915    	director = Dulac               	rating = 0.00	genres = []
GENRE ERROR Film 	id = GD2       	title = Geo le Mysterieux                                 	year = 1916    	director = Dulac               	rating = 0.00	genres = []
GENRE ERROR Film 	id = GD3       	title = Venus Victrix                                     	year = 1916    	director = Dulac               	rating = 0.00	genres = []
GENRE ERROR Film 	id = GD7       	title = La Fete Espanole                                  	year = 1919    	director = Dulac               	rating = 0.00	genres = []
GENRE ERROR Film 	id = GD10      	title = La Belle Dame Sans Merci                          	year = 1920    	director = Dulac               	rating = 0.00	genres = []
GENRE ERROR Film 	id = GD13      	title = La Souriante Madame Beudet                        	year = 1923    	director = Dulac               	rating = 0.00	genres = []
GENRE ERROR Film 	id = IGA30     	title = The Little Red Schoolhouse                        	year = 1923    	director = Adolfi              	rating = 0.00	genres = []
GENRE ERROR Film 	id = IGA40     	title = The Phantom Express                               	year = 1925    	director = Adolfi              	rating = 0.00	genres = []
GENRE ERROR Film 	id = IGA60     	title = The Man Who Played God                            	year = 1932    	director = Adolfi              	rating = 0.00	genres = []
GENRE ERROR Film 	id = JMa50     	title = Music in the Air                                  	year = 1934    	director = J.May               	rating = 0.00	genres = []
GENRE ERROR Film 	id = JMa60     	title = The House of Seven Gables                         	year = 1940    	director = J.May               	rating = 0.00	genres = []
GENRE ERROR Film 	id = JMa70     	title = Johnny Doen't Live Here Any More                  	year = 1944    	director = J.May               	rating = 0.00	genres = []
GENRE ERROR Film 	id = LFl70     	title = Judex                                             	year = 1917    	director = Feuillade           	rating = 0.00	genres = []
GENRE ERROR Film 	id = RaW13     	title = What Price Glory                                  	year = 1926    	director = Walsh               	rating = 0.00	genres = []
GENRE ERROR Film 	id = RaW24     	title = Sadie Thompson                                    	year = 1928    	director = Walsh               	rating = 0.00	genres = []
GENRE ERROR Film 	id = RaW40     	title = The Man Who Came Back                             	year = 1930    	director = Walsh               	rating = 0.00	genres = []
GENRE ERROR Film 	id = RaW41     	title = The Big Trail                                     	year = 1930    	director = Walsh               	rating = 0.00	genres = []
GENRE ERROR Film 	id = RaW44     	title = The Yellow Ticket                                 	year = 1931    	director = Walsh               	rating = 0.00	genres = []
NULL ITEMS  Film 	id = RaW60     	title = St.~Louis Blues                                   	year = 1939    	director = Walsh               	rating = 0.00	genres = [15-Musical]
GENRE ERROR Film 	id = RaW61     	title = They Drive by Night                               	year = 1940    	director = Walsh               	rating = 0.00	genres = []
GENRE ERROR Film 	id = RaW62     	title = High Sierra                                       	year = 1941    	director = Walsh               	rating = 0.00	genres = []
GENRE ERROR Film 	id = RaW65     	title = Manpower                                          	year = 1941    	director = Walsh               	rating = 0.00	genres = []
GENRE ERROR Film 	id = RaW67     	title = Northern Pursuit                                  	year = 1943    	director = Walsh               	rating = 0.00	genres = []
GENRE ERROR Film 	id = RaW70     	title = Objective Burma                                   	year = 1945    	director = Walsh               	rating = 0.00	genres = []
GENRE ERROR Film 	id = RaW74     	title = White Heat                                        	year = 1949    	director = Walsh               	rating = 0.00	genres = []
