No. of Films read '7958'.
Film 	id = HCP6      	title = The Story of Vernon and Irene Castle              	year = 1939    	director = H.Potter            	rating = 0.00	genres = [5-Biography, 15-Musical]
Film 	id = CBl67     	title = Private Conversations                             	year = 1982    	director = Blackwood           	rating = 0.00	genres = [8-Documentary]
Film 	id = NPS25     	title = Como era Gostoso o Meu Frances                    	year = 1971    	director = dosSantos           	rating = 0.00	genres = [9-Drama]
Film 	id = CBl60     	title = Observations Under the Volcano                    	year = 1984    	director = Blackwood           	rating = 0.00	genres = [8-Documentary]
Film 	id = RA10      	title = Cry Freedom                                       	year = 1987    	director = Attenborough        	rating = 0.00	genres = [9-Drama, 5-Biography]
Film 	id = WHW10     	title = Shadow in the Sky                                 	year = 1952    	director = W.Wright            	rating = 0.00	genres = [9-Drama]
Film 	id = SHp13     	title = I Love You, I Love You Not                        	year = 1997    	director = S.Hopkins           	rating = 0.00	genres = [9-Drama]
Film 	id = ESP40     	title = Tess of The Storm Country                         	year = 1914    	director = E.S.Porter          	rating = 0.00	genres = [9-Drama]
Film 	id = SHp10     	title = Blown Away                                        	year = 1994    	director = S.Hopkins           	rating = 0.00	genres = [1-Action]
Film 	id = MoB10     	title = The Torrent                                       	year = 1925    	director = Mo.Bell             	rating = 0.00	genres = [9-Drama]
Film 	id = RA19      	title = In Love and War                                   	year = 1996    	director = Attenborough        	rating = 0.00	genres = [9-Drama]
Film 	id = RA17      	title = Shadowlands                                       	year = 1993    	director = Attenborough        	rating = 0.00	genres = [5-Biography]
Film 	id = RA15      	title = Chaplin                                           	year = 1992    	director = Attenborough        	rating = 0.00	genres = [5-Biography]
Film 	id = HeW1      	title = Memories of Me                                    	year = 1988    	director = H.Winkler           	rating = 0.00	genres = [9-Drama]
Film 	id = ARw12     	title = Somebody to Love                                  	year = 1994    	director = Rockwell            	rating = 0.00	genres = [18-Romance]
Film 	id = NPS20     	title = Fome de Amor                                      	year = 1968    	director = dosSantos           	rating = 0.00	genres = [9-Drama]
Film 	id = CBl69     	title = Nik and Murray                                    	year = 1986    	director = Blackwood           	rating = 0.00	genres = [8-Documentary]
Film 	id = NPS10     	title = Rio 40 Gauss                                      	year = 1955    	director = dosSantos           	rating = 0.00	genres = [9-Drama]
Film 	id = CBl35     	title = Sam Fuller                                        	year = 1982    	director = Blackwood           	rating = 0.00	genres = [8-Documentary]
Film 	id = BRf4      	title = Stay Hungry                                       	year = 1976    	director = Rafelson            	rating = 0.00	genres = [9-Drama]
Film 	id = MMa10     	title = Before the Rain                                   	year = 1995    	director = Manchevski          	rating = 0.00	genres = [9-Drama]
Film 	id = CBl32     	title = Yesterday's Witness                               	year = 1981    	director = Blackwood           	rating = 0.00	genres = [8-Documentary]
Film 	id = BRf2      	title = King of Marvin Gardens                            	year = 1972    	director = Rafelson            	rating = 0.00	genres = [9-Drama]
Film 	id = BRf1      	title = Five Easy Pieces                                  	year = 1970    	director = Rafelson            	rating = 0.00	genres = [18-Romance]
Film 	id = NPS15     	title = Vidas Secas                                       	year = 1963    	director = dosSantos           	rating = 0.00	genres = [9-Drama]
Film 	id = CBl30     	title = Edith Head                                        	year = 1981    	director = Blackwood           	rating = 0.00	genres = [8-Documentary]
Film 	id = JZi10     	title = Friday the 13th - The Final Chapter               	year = 1984    	director = Zito                	rating = 0.00	genres = [13-Horror]
Film 	id = DHL1      	title = Phantom of the Opera                              	year = 1989    	director = Little              	rating = 0.00	genres = [13-Horror]
Film 	id = DHL6      	title = The Toymaker                                      	year = 1991    	director = Little              	rating = 0.00	genres = [13-Horror]
Film 	id = WWn100    	title = The Cowboy and the Senorita                       	year = 1944    	director = Witney              	rating = 0.00	genres = [25-West]
Film 	id = ESP27     	title = His Neighbor's Wife                               	year = 1912    	director = E.S.Porter          	rating = 0.00	genres = [9-Drama]
Film 	id = ESP26     	title = The Prisoner of Zenda                             	year = 1912    	director = E.S.Porter          	rating = 0.00	genres = [9-Drama]
Film 	id = ESP25     	title = The Count of Monte Christo                        	year = 1912    	director = E.S.Porter          	rating = 0.00	genres = [9-Drama]
Film 	id = WWn101    	title = Yellow Rose of Texas                              	year = 1944    	director = Witney              	rating = 0.00	genres = [25-West]
Film 	id = SK3       	title = The Defiant Ones                                  	year = 1958    	director = St.Kramer           	rating = 0.00	genres = [9-Drama]
Film 	id = PmR1      	title = Miss Beatty's Children                            	year = 1992    	director = Rooks               	rating = 0.00	genres = [9-Drama]
Film 	id = ESP28     	title = Tess of the d'Ubervilles                          	year = 1912    	director = E.S.Porter          	rating = 0.00	genres = [9-Drama]
Film 	id = SK2       	title = Pride and the Passion                             	year = 1957    	director = St.Kramer           	rating = 0.00	genres = [3-Adventure]
Film 	id = SK5       	title = Inherit the Wind                                  	year = 1960    	director = St.Kramer           	rating = 0.00	genres = [12-History]
Film 	id = MBr25     	title = Meet Joe Black                                    	year = 1998    	director = Brest               	rating = 0.00	genres = [9-Drama]
Film 	id = SK6       	title = Judgement at Nuremberg                            	year = 1961    	director = St.Kramer           	rating = 0.00	genres = [9-Drama]
Film 	id = AuJ10     	title = Hold That Hypnotist                               	year = 1957    	director = Jewell              	rating = 0.00	genres = [6-Comedy]
Film 	id = SK8       	title = It's a Mad Mad Mad Mad World                      	year = 1963    	director = St.Kramer           	rating = 0.00	genres = [6-Comedy]
Film 	id = BuK5      	title = The War Wagon                                     	year = 1967    	director = Kennedy             	rating = 0.00	genres = [25-West]
Film 	id = BuK3      	title = Return of the Seven                               	year = 1966    	director = Kennedy             	rating = 0.00	genres = [25-West]
Film 	id = CBl40     	title = All By Myself                                     	year = 1982    	director = Blackwood           	rating = 0.00	genres = [8-Documentary]
Film 	id = SSu5      	title = Kid's in the Hall                                 	year = 1993    	director = Surjik              	rating = 0.00	genres = [6-Comedy]
Film 	id = CLi10     	title = Jenseits der Stille                               	year = 1998    	director = Link                	rating = 0.00	genres = [9-Drama]
Film 	id = MBa27     	title = Keep Your Seats Please                            	year = 1936    	director = Banks               	rating = 0.00	genres = [6-Comedy]
Film 	id = ESP12     	title = The Great Train Robbery                           	year = 1903    	director = E.S.Porter          	rating = 0.00	genres = [25-West]
Film 	id = xMe10     	title = Invitation to the Waltz                           	year = 1935    	director = Merzbach            	rating = 0.00	genres = [9-Drama]
Film 	id = ESP11     	title = Life of an American Fireman                       	year = 1903    	director = E.S.Porter          	rating = 0.00	genres = [25-West]
Film 	id = ESP10     	title = Uncle Tom's Cabin                                 	year = 1902    	director = E.S.Porter          	rating = 0.00	genres = [6-Comedy]
Film 	id = MRe7      	title = Rockets Galore                                    	year = 1957    	director = Relph               	rating = 0.00	genres = [6-Comedy]
Film 	id = TVb10     	title = Festen                                            	year = 1998    	director = Vinterberg          	rating = 0.00	genres = [9-Drama]
Film 	id = SL1       	title = Twelve Angry Men                                  	year = 1957    	director = Lumet               	rating = 0.00	genres = [9-Drama]
Film 	id = SL3       	title = That Kind of Woman                                	year = 1959    	director = Lumet               	rating = 0.00	genres = [18-Romance]
Film 	id = SL5       	title = A View from the Bridge                            	year = 1961    	director = Lumet               	rating = 0.00	genres = [9-Drama]
Film 	id = SL7       	title = Fail Safe                                         	year = 1964    	director = Lumet               	rating = 0.00	genres = [9-Drama]
Film 	id = BbM10     	title = The Sky on Location                               	year = 1982    	director = Mangolte            	rating = 0.00	genres = [8-Documentary]
Film 	id = EL21      	title = Gipsy Blood                                       	year = 1918    	director = Lubitsch            	rating = 0.00	genres = [9-Drama]
Film 	id = ArH210    	title = The Hospital                                      	year = 1971    	director = Hiller              	rating = 0.00	genres = [6-Comedy, 13-Horror]
Film 	id = SSi115    	title = The Woman Who Turned to Salt                      	year = 1958    	director = Siliphant           	rating = 0.00	genres = [24-Suspense]
Film 	id = BoS70     	title = The Helicopter Spies                              	year = 1968    	director = Sagal               	rating = 0.00	genres = [1-Action]
Film 	id = EL28      	title = Meyer in Berlin                                   	year = 1919    	director = Lubitsch            	rating = 0.00	genres = [6-Comedy]
Film 	id = ArH215    	title = Silver Streak                                     	year = 1977    	director = Hiller              	rating = 0.00	genres = [1-Action, 6-Comedy]
Film 	id = EL29      	title = Die Austernprinzessin                             	year = 1919    	director = Lubitsch            	rating = 0.00	genres = [9-Drama]
Film 	id = ArH207    	title = The Out-of-Towners                                	year = 1970    	director = Hiller              	rating = 0.00	genres = [6-Comedy]
Film 	id = RoE10     	title = Stevie                                            	year = 1978    	director = Enders              	rating = 0.00	genres = [5-Biography]
Film 	id = JlC4      	title = Blood Simple                                      	year = 1985    	director = J.Coen              	rating = 0.00	genres = [1-Action]
Film 	id = TFd10     	title = In the Bedroom                                    	year = 2001    	director = J.Scott             	rating = 0.00	genres = [9-Drama]
Film 	id = ArH205    	title = Mamie                                             	year = 1966    	director = Hiller              	rating = 0.00	genres = [6-Comedy]
Film 	id = RBB10     	title = Made for Each Other                               	year = 1971    	director = Bean                	rating = 0.00	genres = [18-Romance]
Film 	id = VyK10     	title = Adam's Rib                                        	year = 1992    	director = Krishtofovich       	rating = 0.00	genres = [9-Drama]
Film 	id = BoS61     	title = The Test                                          	year = 1962    	director = Sagal               	rating = 0.00	genres = [24-Suspense]
Film 	id = JlC7      	title = Raising Arizona                                   	year = 1987    	director = J.Coen              	rating = 0.00	genres = [1-Action]
Film 	id = SM1       	title = Whiskey Galore                                    	year = 1949    	director = Mackendrick         	rating = 0.00	genres = [6-Comedy]
Film 	id = BoS62     	title = The Big Score                                     	year = 1962    	director = Sagal               	rating = 0.00	genres = [24-Suspense]
Film 	id = SM3       	title = The Man in The White Suit                         	year = 1951    	director = Mackendrick         	rating = 0.00	genres = [6-Comedy]
Film 	id = VyK15     	title = A Friend of the Deceased                          	year = 1998    	director = Krishtofovich       	rating = 0.00	genres = [9-Drama]
Film 	id = BbM19     	title = Visible Cities                                    	year = 1982    	director = Mangolte            	rating = 0.00	genres = [8-Documentary]
Film 	id = SM4       	title = Mandy                                             	year = 1952    	director = Mackendrick         	rating = 0.00	genres = [8-Documentary]
Film 	id = SM7       	title = The Sweet Smell of Success                        	year = 1956    	director = Mackendrick         	rating = 0.00	genres = [9-Drama]
Film 	id = SM6       	title = The Ladykillers                                   	year = 1955    	director = Mackendrick         	rating = 0.00	genres = [6-Comedy]
Film 	id = RMu50     	title = The Man in the Moon                               	year = 1991    	director = Mulligan            	rating = 0.00	genres = [18-Romance]
Film 	id = VyK13     	title = Burnt by the Sun                                  	year = 1996    	director = Krishtofovich       	rating = 0.00	genres = [9-Drama]
Film 	id = BbM22     	title = Four Pieces by Morris                             	year = 1994    	director = Mangolte            	rating = 0.00	genres = [8-Documentary]
Film 	id = DPo15     	title = The Green Man                                     	year = 1990    	director = D.Potter            	rating = 0.00	genres = [13-Horror]
Film 	id = CBl20     	title = Roger Corman: Hollywood's Wild Angel              	year = 1978    	director = Blackwood           	rating = 0.00	genres = [8-Documentary]
Film 	id = RBS15     	title = That Wonderful Urge                               	year = 1948    	director = Sinclair            	rating = 0.00	genres = [18-Romance]
Film 	id = ILf10     	title = Man's Best Friend                                 	year = 1993    	director = Lafia               	rating = 0.00	genres = [6-Comedy]
Film 	id = ArH220    	title = Romantic Comedy                                   	year = 1983    	director = Hiller              	rating = 0.00	genres = [18-Romance]
Film 	id = BoS80     	title = Rich Man, Poor Man                                	year = 1976    	director = Boris Sagal         	rating = 0.00	genres = [9-Drama]
Film 	id = EL19      	title = Die Augen der Mumie Ma                            	year = 1918    	director = Lubitsch            	rating = 0.00	genres = [9-Drama]
Film 	id = ArH218    	title = Making Love                                       	year = 1982    	director = Hiller              	rating = 0.00	genres = [9-Drama]
Film 	id = BoS75     	title = The Omega Man                                     	year = 1971    	director = Sagal               	rating = 0.00	genres = [19-Sci-Fi]
Film 	id = ArH216    	title = The In-Laws                                       	year = 1979    	director = Hiller              	rating = 0.00	genres = [6-Comedy]
Film 	id = ArH217    	title = Author, Author                                    	year = 1982    	director = Hiller              	rating = 0.00	genres = [9-Drama]
Film 	id = RMu46     	title = Kiss Me Goodbye                                   	year = 1983    	director = Mulligan            	rating = 0.00	genres = [18-Romance]
Film 	id = CBl26     	title = Memoirs of a Movie Palace                         	year = 1980    	director = Blackwood           	rating = 0.00	genres = [8-Documentary]
Film 	id = RMu41     	title = Bloodbrothers                                     	year = 1978    	director = Mulligan            	rating = 0.00	genres = [9-Drama]
Film 	id = CBl25     	title = Tapdancin'                                        	year = 1980    	director = Blackwood           	rating = 0.00	genres = [8-Documentary]
Film 	id = SCa10     	title = The Ballad of the Sad Cafe                        	year = 1991    	director = Callow              	rating = 0.00	genres = [9-Drama]
Film 	id = RcB13     	title = Cat on a Hot Tin Roof                             	year = 1958    	director = R.Brooks            	rating = 0.00	genres = [9-Drama]
Film 	id = ByP10     	title = Mistress                                          	year = 1992    	director = Primus              	rating = 0.00	genres = [6-Comedy]
Film 	id = EL40      	title = Die Flamme                                        	year = 1923    	director = Lubitsch            	rating = 0.00	genres = [9-Drama]
Film 	id = RcB12     	title = The Brothers Karamazov                            	year = 1958    	director = R.Brooks            	rating = 0.00	genres = [9-Drama]
Film 	id = RcB15     	title = Sweet Bird of Youth                               	year = 1962    	director = R.Brooks            	rating = 0.00	genres = [9-Drama]
Film 	id = EL42      	title = The Marriage Circle                               	year = 1924    	director = Lubitsch            	rating = 0.00	genres = [18-Romance]
Film 	id = RcB14     	title = Elmer Gantry                                      	year = 1960    	director = R.Brooks            	rating = 0.00	genres = [9-Drama]
Film 	id = RcB17     	title = The Professionals                                 	year = 1966    	director = R.Brooks            	rating = 0.00	genres = [25-West]
Film 	id = EL44      	title = Forbidden Paradise                                	year = 1924    	director = Lubitsch            	rating = 0.00	genres = [18-Romance, 5-Biography]
Film 	id = EL46      	title = Lady Windermere's Fan                             	year = 1925    	director = Lubitsch            	rating = 0.00	genres = [6-Comedy]
Film 	id = RcB18     	title = In Cold Blood                                     	year = 1967    	director = R.Brooks            	rating = 0.00	genres = [9-Drama]
Film 	id = JCw50     	title = Just a Gigolo                                     	year = 1931    	director = Conway              	rating = 0.00	genres = [6-Comedy]
Film 	id = EL48      	title = The Student Prince                                	year = 1927    	director = Lubitsch            	rating = 0.00	genres = [18-Romance]
Film 	id = JJB1      	title = Diva                                              	year = 1981    	director = Beineix             	rating = 0.00	genres = [18-Romance, 24-Suspense]
Film 	id = JCw53     	title = Red-headed Woman                                  	year = 1932    	director = Conway              	rating = 0.00	genres = [9-Drama]
Film 	id = KFi10     	title = Airplane II: The Sequel                           	year = 1982    	director = Finkleman           	rating = 0.00	genres = [6-Comedy]
Film 	id = RyS10     	title = The Incredible Strange Creatures Who Stopped Living and Became Mixed-Up Zombies	year = 1963    	director = Steckler            	rating = 0.00	genres = [13-Horror, 15-Musical]
Film 	id = RM110     	title = Westward Passage                                  	year = 1932    	director = Milton              	rating = 0.00	genres = [9-Drama]
Film 	id = PtP10     	title = Wrongfully Accused                                	year = 1998    	director = Proft               	rating = 0.00	genres = [6-Comedy]
Film 	id = SOS10     	title = Sparkle                                           	year = 1976    	director = OSteen              	rating = 0.00	genres = [15-Musical, 5-Biography]
Film 	id = NNo13     	title = Full Exposure: The Sex Tape Scandal               	year = 1989    	director = N.Nosseck           	rating = 0.00	genres = [30-Porn]
Film 	id = TiH10     	title = Digging to China                                  	year = 1998    	director = T.Hutton            	rating = 0.00	genres = [9-Drama]
Film 	id = NNo16     	title = A Mother's Justice                                	year = 1991    	director = N.Nosseck           	rating = 0.00	genres = [9-Drama]
Film 	id = EL31      	title = Madame Dubarry                                    	year = 1919    	director = Lubitsch            	rating = 0.00	genres = [9-Drama]
Film 	id = EL33      	title = Romeo und Julia im Schnee                         	year = 1920    	director = Lubitsch            	rating = 0.00	genres = [6-Comedy]
Film 	id = EL36      	title = Sumurun                                           	year = 1920    	director = Lubitsch            	rating = 0.00	genres = [9-Drama]
Film 	id = EL37      	title = Anna Boleyn                                       	year = 1920    	director = Lubitsch            	rating = 0.00	genres = [9-Drama]
Film 	id = EL38      	title = Die Bergkatze                                     	year = 1921    	director = Lubitsch            	rating = 0.00	genres = [9-Drama]
Film 	id = JCw44     	title = Our Modern Maidens                                	year = 1929    	director = Conway              	rating = 0.00	genres = [18-Romance]
Film 	id = EL39      	title = Das Weib des Pharao                               	year = 1922    	director = Lubitsch            	rating = 0.00	genres = [9-Drama]
Film 	id = ArH204    	title = The Americanization of Emily                      	year = 1964    	director = Hiller              	rating = 0.00	genres = [9-Drama]
Film 	id = LHz20     	title = Maiorita Absoluta                                 	year = 1984    	director = Hirszman            	rating = 0.00	genres = [8-Documentary]
Film 	id = ASi10     	title = Do or Die                                         	year = 1991    	director = Sitaris             	rating = 0.00	genres = [30-Porn]
Film 	id = YMZ10     	title = Red Sorghum                                       	year = 1980    	director = YM.Zhang            	rating = 0.00	genres = [9-Drama]
Film 	id = SCr10     	title = Dr. Dolittle 2                                    	year = 2000    	director = S.Carr              	rating = 0.00	genres = [6-Comedy]
Film 	id = RWa12     	title = Seven Days Leave                                  	year = 1929    	director = Ri.Wallace          	rating = 0.00	genres = [18-Romance]
Film 	id = BoS50     	title = Maria                                             	year = 1961    	director = Sagal               	rating = 0.00	genres = [24-Suspense]
Film 	id = JJA7      	title = Black and White in Color                          	year = 1977    	director = Annaud              	rating = 0.00	genres = [9-Drama]
Film 	id = JJA5      	title = Quest for Fire                                    	year = 1971    	director = Annaud              	rating = 0.00	genres = [11-Fantasy]
Film 	id = RWa10     	title = The Shopworn Angel                                	year = 1928    	director = Ri.Wallace          	rating = 0.00	genres = [18-Romance]
Film 	id = SP6       	title = Diagnosis: Danger                                 	year = 1963    	director = S.Pollack           	rating = 0.00	genres = [24-Suspense]
Film 	id = SP5       	title = The Black Curtain                                 	year = 1962    	director = S.Pollack           	rating = 0.00	genres = [24-Suspense]
Film 	id = MnP10     	title = Marie Baie des Anges                              	year = 1998    	director = Pradal              	rating = 0.00	genres = [18-Romance, 9-Drama]
Film 	id = NNo11     	title = Roman Holiday                                     	year = 1987    	director = N.Nosseck           	rating = 0.00	genres = [18-Romance]
Film 	id = YMZ26     	title = To Live                                           	year = 1994    	director = YM.Zhang            	rating = 0.00	genres = [9-Drama]
Film 	id = EL61      	title = The Merry Widow                                   	year = 1934    	director = Lubitsch            	rating = 0.00	genres = [15-Musical]
Film 	id = YMZ24     	title = The Story of Qiu Ju                               	year = 1993    	director = YM.Zhang            	rating = 0.00	genres = [6-Comedy]
Film 	id = AlP10     	title = Local Stigmatic                                   	year = 1987    	director = Pacino              	rating = 0.00	genres = [9-Drama]
Film 	id = EL63      	title = Bluebeard's Eighth Wife                           	year = 1938    	director = Lubitsch            	rating = 0.00	genres = [6-Comedy]
Film 	id = EL64      	title = Ninotchka                                         	year = 1939    	director = Lubitsch            	rating = 0.00	genres = [18-Romance]
Film 	id = EL65      	title = The Shop around the Corner                        	year = 1940    	director = Lubitsch            	rating = 0.00	genres = [18-Romance]
Film 	id = IWa7      	title = Pink Flamingos                                    	year = 1972    	director = Waters              	rating = 0.00	genres = [30-Porn]
Film 	id = ReH10     	title = Die Hard 2                                        	year = 1990    	director = Harlin              	rating = 0.00	genres = [1-Action]
Film 	id = RBu10     	title = Hot Lead and Cold Feet                            	year = 1978    	director = R.Butler            	rating = 0.00	genres = [6-Comedy, 25-West]
Film 	id = LaK9      	title = Silverado                                         	year = 1985    	director = L.Kasdan            	rating = 0.00	genres = [6-Comedy]
Film 	id = EL67      	title = To Be or Not To Be                                	year = 1942    	director = Lubitsch            	rating = 0.00	genres = [6-Comedy]
Film 	id = ReH16     	title = Cliffhanger                                       	year = 1993    	director = Harlin              	rating = 0.00	genres = [3-Adventure]
Film 	id = EL68      	title = Heaven Can Wait                                   	year = 1943    	director = Lubitsch            	rating = 0.00	genres = [18-Romance]
Film 	id = EL69      	title = Cluny Brown                                       	year = 1946    	director = Lubitsch            	rating = 0.00	genres = [18-Romance]
Film 	id = RBu15     	title = Night of the Juggler                              	year = 1980    	director = R.Butler            	rating = 0.00	genres = [1-Action]
Film 	id = YMZ22     	title = Raise the Red Lantern                             	year = 1992    	director = YM.Zhang            	rating = 0.00	genres = [9-Drama]
