No of Films read '8183'.
Film 	id = H1        	title = Always Tell Your Wife                             	year = 1922    	director = Hitchcock           	rating = 0.00	genres = ['Dram', ]
Film 	id = ThI65     	title = Custer's Last Fight                               	year = 1925    	director = Th.Ince             	rating = 0.00	genres = ['West', ]
Film 	id = UrG10     	title = The Aviator's Generosity                          	year = 1911    	director = Gad                 	rating = 0.00	genres = ['Dram', ]
Film 	id = WmH10     	title = A Tale of Two Cities                              	year = 1911    	director = Humphrey            	rating = 0.00	genres = ['Dram', ]
Film 	id = ADw5      	title = Maiden and Men                                    	year = 1912    	director = Dwan                	rating = 0.00	genres = ['Dram', ]
Film 	id = ADw6      	title = Their Hero Son                                    	year = 1912    	director = Dwan                	rating = 0.00	genres = ['Dram', ]
Film 	id = ADw17     	title = Robin Hood                                        	year = 1922    	director = Dwan                	rating = 0.00	genres = ['Advt', ]
Film 	id = ADw22     	title = The Iron Mask                                     	year = 1922    	director = Dwan                	rating = 0.00	genres = ['Advt', ]
Film 	id = ADw27     	title = Manhandled                                        	year = 1924    	director = Dwan                	rating = 0.00	genres = ['Romt', ]
Film 	id = ADw35     	title = Heidi                                             	year = 1937    	director = Dwan                	rating = 0.00	genres = ['Romt', ]
Film 	id = ADw40     	title = Rebecca of Sunnybrook Farm                        	year = 1938    	director = Dwan                	rating = 0.00	genres = ['Dram', ]
Film 	id = ADw45     	title = The Three Musketeers                              	year = 1939    	director = Dwan                	rating = 0.00	genres = ['Actn', ]
Film 	id = ADw52     	title = Around the World                                  	year = 1943    	director = Dwan                	rating = 0.00	genres = ['Musc', ]
Film 	id = ADw60     	title = Sands of Iwo Jima                                 	year = 1949    	director = Dwan                	rating = 0.00	genres = ['Actn', ]
Film 	id = ADw70     	title = Cattle Queen of Montana                           	year = 1954    	director = Dwan                	rating = 0.00	genres = ['West', ]
Film 	id = ADw72     	title = Passion                                           	year = 1954    	director = Dwan                	rating = 0.00	genres = ['West', ]
Film 	id = ADw75     	title = Tennessee's Partner                               	year = 1954    	director = Dwan                	rating = 0.00	genres = ['West', ]
Film 	id = ADw78     	title = Pearl of the South Pacific                        	year = 1955    	director = Dwan                	rating = 0.00	genres = ['Advt', ]
Film 	id = ADw80     	title = Slightly Scarlet                                  	year = 1956    	director = Dwan                	rating = 0.00	genres = ['Dram', ]
Film 	id = AEG37     	title = Baby Face                                         	year = 1933    	director = A.E.Green           	rating = 0.00	genres = ['Dram', ]
Film 	id = AEG41     	title = Dangerous                                         	year = 1935    	director = A.E.Green           	rating = 0.00	genres = ['Dram', ]
Film 	id = AEG50     	title = The Gracie Allen Murder Case                      	year = 1935    	director = A.E.Green           	rating = 0.00	genres = ['Myst', ]
Film 	id = AEG60     	title = The Jolson Story                                  	year = 1946    	director = A.E.Green           	rating = 0.00	genres = ['BioP', , 'Musc', ]
Film 	id = AEG70     	title = The Eddie Cantor Story                            	year = 1953    	director = A.E.Green           	rating = 0.00	genres = ['BioP', , 'Musc', ]
Film 	id = JCw41     	title = Bringing Up Father                                	year = 1928    	director = Conway              	rating = 0.00	genres = ['Comd ', ]
Film 	id = JCw44     	title = Our Modern Maidens                                	year = 1929    	director = Conway              	rating = 0.00	genres = ['Romt', ]
Film 	id = JCw50     	title = Just a Gigolo                                     	year = 1931    	director = Conway              	rating = 0.00	genres = ['Comd', ]
Film 	id = JCw53     	title = Red-headed Woman                                  	year = 1932    	director = Conway              	rating = 0.00	genres = ['Dram', ]
Film 	id = JCw61     	title = A Tale of Two Cities                              	year = 1935    	director = Conway              	rating = 0.00	genres = ['Dram', ]
Film 	id = JCw62     	title = Libeled Lady                                      	year = 1936    	director = Conway              	rating = 0.00	genres = ['Romt', ]
Film 	id = JDu10     	title = Comedy of the absurd                              	year = 1912    	director = Durand              	rating = 0.00	genres = ['Comd', ]
Film 	id = MaT10     	title = Alias Jimmy Valentine                             	year = 1915    	director = M.Tourneur          	rating = 0.00	genres = ['CnRb', ]
Film 	id = MaT25     	title = The Pride of the Clan                             	year = 1917    	director = M.Tourneur          	rating = 0.00	genres = ['Dram', ]
Film 	id = MaT27     	title = Poor Little Rich Girl                             	year = 1917    	director = M.Tourneur          	rating = 0.00	genres = ['Dram', ]
Film 	id = MaT40     	title = Au nom de la loi                                  	year = 1931    	director = M.Tourneur          	rating = 0.00	genres = ['CnRb', ]
Film 	id = LMe10     	title = Queen Elizabeth                                   	year = 1912    	director = Mercanton           	rating = 0.00	genres = ['BioP', ]
Film 	id = LoW3      	title = How Men Propose                                   	year = 1913    	director = Weber               	rating = 0.00	genres = ['Dram', ]
Film 	id = LoW5      	title = Where are My Children                             	year = 1916    	director = Phillips Smalley    	rating = 0.00	genres = ['Dram', ]
Film 	id = LoW11     	title = The Juvenile Dancer Supreme, Lena Basquette in a Group of Classical Dances	year = 1916    	director = Weber               	rating = 0.00	genres = ['Musc', ]
Film 	id = ME180     	title = The Lodger                                        	year = 1932    	director = Elvey               	rating = 0.00	genres = ['Susp', ]
Film 	id = ME240     	title = The Spider                                        	year = 1940    	director = Elvey               	rating = 0.00	genres = ['Susp', ]
Film 	id = MSt30     	title = Erotikon                                          	year = 1920    	director = M.Stiller           	rating = 0.00	genres = ['Comd', , 'Dram', ]
Film 	id = MSt40     	title = The Saga of Gosta Berlin                          	year = 1924    	director = M.Stiller           	rating = 0.00	genres = ['Romt', ]
Film 	id = MSt53     	title = The Temptress                                     	year = 1927    	director = Humberstone         	rating = 0.00	genres = ['Dram', ]
Film 	id = SiO10     	title = From the Manger to the Cross                      	year = 1912    	director = Olcott              	rating = 0.00	genres = ['Hist', ]
Film 	id = SiO30     	title = Monsieur Beaucaire                                	year = 1924    	director = Olcott              	rating = 0.00	genres = ['Hist', ]
Film 	id = VSj1      	title = Tradgardsmastaren                                 	year = 1912    	director = Seastrom            	rating = 0.00	genres = ['Dram', ]
Film 	id = VSj6      	title = The Scarlet Letter                                	year = 1926    	director = Seastrom            	rating = 0.00	genres = ['Dram', ]
Film 	id = VSj7      	title = The Divine Woman                                  	year = 1927    	director = Seastrom            	rating = 0.00	genres = ['BioP', ]
Film 	id = VSj8      	title = The Wind                                          	year = 1927    	director = Seastrom            	rating = 0.00	genres = ['Dram', ]
Film 	id = ElR10     	title = The Last Days of Pompeii                          	year = 1913    	director = Rodolfo             	rating = 0.00	genres = ['Dram', ]
Film 	id = NOx20     	title = Rhapsodia Satanica                                	year = 1917    	director = Oxilia              	rating = 0.00	genres = ['Romt', ]
Film 	id = AcG10     	title = Fedora, or Piu Forte dell'Odio e Amore            	year = 1913    	director = Gonsalvi            	rating = 0.00	genres = ['DRam', ]
Film 	id = BuG10     	title = Blade O'Grass                                     	year = 1915    	director = George              	rating = 0.00	genres = ['West', ]
Film 	id = CDM0      	title = California                                        	year = 1913    	director = DeMille             	rating = 0.00	genres = ['Musc', ]
Film 	id = CDM1      	title = The Squaw Man                                     	year = 1913    	director = Oscar Apfel         	rating = 0.00	genres = ['West', ]
Film 	id = CDM3      	title = The Virginian                                     	year = 1914    	director = DeMille             	rating = 0.00	genres = ['Dram', ]
Film 	id = CDM5      	title = Brewster's Millions                               	year = 1914    	director = DeMille             	rating = 0.00	genres = ['Dram', ]
Film 	id = CDM6      	title = Rose of the Rancho                                	year = 1914    	director = DeMille             	rating = 0.00	genres = ['Dram', ]
Film 	id = CDM7      	title = The Ghost Breaker                                 	year = 1914    	director = DeMille             	rating = 0.00	genres = ['Dram', ]
Film 	id = CDM9      	title = The Girl of the Golden West                       	year = 1915    	director = DeMille             	rating = 0.00	genres = ['Dram', ]
Film 	id = CDM15     	title = Carmen                                            	year = 1915    	director = Walsh               	rating = 0.00	genres = ['Dram', ]
Film 	id = CDM17     	title = The Captive                                       	year = 1915    	director = DeMille             	rating = 0.00	genres = ['Dram', ]
Film 	id = CDM18     	title = The Cheat                                         	year = 1915    	director = DeMille             	rating = 0.00	genres = ['Dram', ]
Film 	id = CDM19     	title = The Trail of the Lonesome Pine                    	year = 1916    	director = DeMille             	rating = 0.00	genres = ['Dram', ]
Film 	id = CDM22     	title = Joan, the Woman                                   	year = 1917    	director = DeMille             	rating = 0.00	genres = ['Dram', ]
Film 	id = CDM32     	title = The Squaw Man                                     	year = 1918    	director = DeMille             	rating = 0.00	genres = ['West', ]
Film 	id = CDM40     	title = The Affairs of Anatol                             	year = 1921    	director = DeMille             	rating = 0.00	genres = ['Romt', ]
Film 	id = CDM45     	title = The Ten Commandments                              	year = 1923    	director = DeMille             	rating = 0.00	genres = ['Epic', ]
Film 	id = CDM51     	title = The King of Kings                                 	year = 1927    	director = deMille             	rating = 0.00	genres = ['Epic', ]
Film 	id = CDM55     	title = The Squaw Man                                     	year = 1931    	director = DeMille             	rating = 0.00	genres = ['Dram', ]
Film 	id = CDM56     	title = The Sign of the Cross                             	year = 1932    	director = DeMille             	rating = 0.00	genres = ['Epic', ]
Film 	id = CDM59     	title = Cleopatra                                         	year = 1934    	director = DeMille             	rating = 0.00	genres = ['Dram', ]
Film 	id = CDM64     	title = The Plainsman                                     	year = 1936    	director = DeMille             	rating = 0.00	genres = ['West', ]
Film 	id = CDM68     	title = The Buccaneer                                     	year = 1938    	director = DeMille             	rating = 0.00	genres = ['Epic', , 'Advt', ]
Film 	id = CDM75     	title = Reap the Wild Wind                                	year = 1942    	director = DeMille             	rating = 0.00	genres = ['Epic', ]
Film 	id = CDM77     	title = Unconquered                                       	year = 1947    	director = DeMille             	rating = 0.00	genres = ['Epic', ]
